Model,Camera,Rom,Descrip,Brand,Ram,Price,Size
Galaxy J1 J120F , 5MP Camera , 8GB ,"Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - White",Samsung , 1GB RAM ," 13,999"," 4.5"" "
Galaxy A5 , 16MP , 32GB ,"Galaxy A5 - 5.2"" - 3GB - 32GB - 16MP - Black",Samsung , 3GB ," 36,499"," 5.2"" "
Galaxy A5 , 16MP , 32GB ,"Galaxy A5 - 5.2"" - 3GB - 32GB - 16MP - Gold",Samsung , 3GB ," 36,499"," 5.2"" "
Galaxy A5 , 16MP , 32GB ,"Galaxy A5 - 5.2"" - 3GB - 32GB - 16MP - Blue",Samsung , 3GB ," 36,499"," 5.2"" "
Galaxy A7 , 16MP , 32GB ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold",Samsung , 3GB ," 45,999"," 5.7"" "
Galaxy A7 , 16MP , 32GB ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Blue",Samsung , 3GB ," 45,999"," 5.7"" "
Gold ,,,Gold - Battery Pack (5.2 A) - Eb-Pn920Ufeg,Samsung ,," 5,500",
Galaxy A7 , 16MP , 32GB ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Black",Samsung , 3GB ," 45,999"," 5.7"" "
Galaxy J2 , 5MP Camera , 8GB ,"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5MP Camera - Black",Samsung , 1GB RAM ," 12,899"," 4.7"" "
Galaxy A3 , 13MP , 16GB ,"Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Black",Samsung , 2GB ," 30,699"," 4.7"" "
Galaxy A3 , 13MP , 16GB ,"Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Blue Mist",Samsung , 2GB ," 30,699"," 4.7"" "
Fast Wireless Charger ,,,Fast Wireless Charger - Black,Samsung ,," 4,599",
J5 Prime , 13MP , 16GB ROM ,"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Black",Samsung , 2GB RAM ," 23,399"," 5.0"" "
Galaxy Grand Prime Plus , 8MP Camera , 8GB ,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Silver",Samsung , 1.5GB RAM ," 14,795"," 5.0"" "
J120F , 5MP Camera , 8GB ,"J120F - Galaxy J1 - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Black",Samsung , 1GB RAM ," 13,250"," 4.5"" "
J320F ,, With Free Kingston 16 GB Micro SD Card ,J320F - Galaxy J3 - 8GB - With Free Kingston 16 GB Micro SD Card - White,Samsung , 8GB ," 23,000",
Galaxy J5 Prime ,, 16 GB ,Galaxy J5 Prime - 16 GB - Black,Samsung ,," 29,400",
