Store Name,Ownership Type,Address Line 1,Address Line 2,City,Province/State,Postal Code,Latitude,Longitude
KFC RBD Growels,Franchisee,"KFC Restaurant,T05,Third Floor, Food Court","Growels Mall, Kandivali (East)",Mumbai,Maharashtra,400101,19.2033331,72.8599737
KFC T2 ARRIVAL,Franchisee,KFC T2 Arrival,"International Airport P6, Terminal T2, Andheri East",Mumbai,Maharashtra,400099,28.557141,77.09886
KFC Infiniti Mall Andheri,Franchisee,"KFC, Food court, Level 2","Infiniti Mall Andheri West,",Mumbai,Maharashtra,400053,19.171227,72.832828
KFC International Airport 2 Departure Mumbai,Franchisee,T2 International Airport Departure Terminal,Andheri (E),Mumbai,Maharashtra,400099,19.098198,72.874498
KFC T2 ARRIVAL,Franchisee,KFC T2 Arrival,"International Airport P6, Terminal T2, Andheri East",Mumbai,Maharashtra,400099,19.098423,72.87444
KFC Garuda Mall FC Mysore,Company,Garuda Mall Shop # 1 1st Flr,Makkaji Chowk Albert Victor Rd,Mysore,Karnataka,570001,12.3081345,76.6563599
KFC Mall of Mysore,Company,"Mall of Mysore, Indranagar Extn","Nazarabad Mohalla, MG Road, Mysore",Mysore,Karnataka,570022,12.2980049,76.664655
KFC RBD Habitat Mall,Company,"Upper ground Foor, situated at 22/B,","Vinoba Road, Jayalakshmipuram",Mysore,Karnataka,570012,12.3214708,76.6209842
KFC Eternity Mall,Franchisee,"KFC Restaurant,G1,G2,Ground floor","Eternity Mall, Variety square, Sitabuldi",Nagpur,Maharashtra,440012,21.1431583,79.080197
KFC Nellore,Company,"Ground Floor, MGB Felicity Mall",Ambedkar Nagar,Nellore,Andra Pradesh,,14.4321073,79.96713
KFC Kirti Nagar,Franchisee,"SHOP NO 12,13 Moments Mall 2nd Flr Food Court",PATEL ROAD,New Delhi,New Delhi,110015,28.6570135,77.1467284
KFC CP1,Franchisee,A-12 Inner circle,Connaught Place,New Delhi,New Delhi,110001,28.633164,77.217971
KFC Vasant Kunj,Franchisee,Shop no 12 13 Gr Flr Sun City Vasant Square Mall,Vasant Kunj,New Delhi,New Delhi,110070,28.524866,77.156567
KFC RBD CP 2,Franchisee,"6 & 7,Scindia House,Outer circle","Connaught Place,",New Delhi,New Delhi,110001,28.6309677,77.2172074
KFC RBD Patel Nagar,Franchisee,"W-2/14,Upper Ground Floor,",West Patel Naga,New Delhi,New Delhi,110008,28.645157,77.16933
"KFC Ambience Mall, Vasantkunj  FC",Franchisee,"3rd Floor,  Food Court","Ambience Mall, Vasantkunj",New Delhi,New Delhi,,28.541245,77.154935
KFC Subash Nagar 1,Franchisee,"Shop no 27 2nd floor Food court, Pacific mall","Subhash Nagar ,",New Delhi,New Delhi,110015,28.642702,77.10594
KFC RBD Subash Nagar 2,Franchisee,"Ground Floor,  Pacific mall","Subhash Nagar ,",New Delhi,New Delhi,110026,28.642702,77.10594
KFC Preet Vihar,Franchisee,"F-25 GF,Preet vihar, Vikas Marg, Delhi - 92",,New Delhi,New Delhi,110092,28.6415889,77.2953466
KFC RBD Pitampura,Franchisee,"Restaurant 2, Ansal MGF Metro Plaza,",Below Netaji Subhash Place metro station,New Delhi,New Delhi,110092,28.695936,77.152436
KFC RBD Janakpuri,Franchisee,"KFC Restaurant,","Plot no. C-1/133, Janak Puri",New Delhi,New Delhi,110058,21.0789316,71.7650422
KFC RBD Janakpuri (W),Franchisee,"Shop no.8-11,Satyam Complex","District Centre, Janakpuri West",New Delhi,New Delhi,110058,28.6295538,77.0801899
Janakpuri 3,Franchisee,Unit No-G01 Gr Flr and 101 First Floor,"Unity One Janakpuri, MLCP Plot",New Delhi,New Delhi,110058,28.6286625,77.0764709
KFC  Nehru place,Franchisee,"Food court 01, Lower ground floor,","TDI mall, Nehru place metro station, Nehru place",New Delhi,New Delhi,110019,28.551441,77.251741
KFC Lajpat Nagar,Franchisee,J 23 A Central Market,Lajpat Nagar 2,New Delhi,New Delhi,110024,28.569229,77.2417726
KFC Kalka Ji,Franchisee,"KFC Restaurant, F-4,","Kalka ji, New Delhi,",New Delhi,New Delhi,110019,28.5374198,77.2597274
KFC Paschim Vihar,Franchisee,"KFC Restaurant,  ARSS Building, Plot No 40","Block A, Opposite Jwala heri Market Complex, Paschim Vihar",New Delhi,New Delhi,110063,28.6672035,77.1028498
KFC RBD Kamla Nagar,Franchisee,Plot  # 38 UA Bangalow Road,Kamla Nagar,New Delhi,New Delhi,110007,28.6804794,77.2081838
"KFC T3 Domestic Airport, Delhi",Franchisee,"D41, Food Court Level 3rd Floor",T-3 Domestic Airport,New Delhi,New Delhi,110037,28.563072,77.119793
KFC Airport T3 Arrival,Franchisee,"Terminal -3, Airport Arrival Food Court",Pillar No.17,New Delhi,New Delhi,110037,28.5550838,77.0844015
KFC Domestic Airport Delhi,Franchisee,"Counter No. 11& 12 , Food Street","Terminal 1 D, Domestic Airport",New Delhi,New Delhi,110037,28.556162,77.099958
KFC Rohini,Franchisee,"Plot no. 15, Block No. X,Shop no G1 to 8 and 10",District Centre NN Mall Sector 3 Rohini,New Delhi,New Delhi,110085,28.7016014,77.1168011
KFC Noida Sec 18,Franchisee,"P -21, Atta Market, Sector 18.","Noida, Sec18",Noida,U P,201301,28.56724,77.326101
KFC RBD Advant Noida,Franchisee,"KFC Restaurant , Advant Navis Business Park,","Noida Expressway, Sec - 142, Gautam Budh Nagar.",Noida,U P,201305,28.500394,77.4103499
KFC Mall Of India,Franchisee,"Unit No -8, Food Court , Fourth Floor,",Mall of India,Noida,U P,201301,28.567685,77.32115
KFC Garden Galleria,Franchisee,"FB 301-A, Gardens Galleria,",Sector-38,Noida,U P,201301,28.5646,77.3216
KFC GIP Noida,Franchisee,"Shop no 37, The Great India Place",SEC 38 A,Noida,U P,201301,28.56724,77.326101
KFC Logix Mall,Franchisee,"Plot No. BW-58, Logix Mall","Sector 32, Near Noida City Center Metro",Noida,U P,201301,28.574244,77.3533962
KFC RBD Panchkula,Franchisee,"SCO - 328,",Sector 9,Panchkula,Haryana,134109,30.6960557,76.8496333
KFC Goa,Franchisee,"Caculo Mall, Caculo Enclave","Opp Fire HQ, St. Inez, Panjim",Panjim,Goa,403001,15.4863631,73.8177241
KFC Margaon,Company,"Shop No. 15, L&L Corial Pride Building,",Near Kadamba Bus Terminus Panjim Highway Margaon,Panjim,Goa,403601,15.2899404,73.9549976
KFC Patiala,Franchisee,"SCO - 2 & 3. OPP. Gopal Sweets, Leela Bhavan Chowk",Near Surya Complex,Patiala,Punjab,147001,30.3352061,76.385134
"KFC Miles Mall, Rajpura",Franchisee,"(Haveli), Between Sirhind & Rajpura NH-1",Dist-Fatehgarh Sahib,Patiala,Punjab,140406,30.549679,76.487403
KFC Patna 1,Franchisee,Regent Theatre East Gandhi Maidan,"Shastri Nagar,",Patna,Bihar,800004,25.6168157,85.1485225
KFC Patna 2,Franchisee,"Vasundara Mall,  Joint Pantaloons Showroom",Raja Pull Road,Patna,Bihar,800001,25.623355,85.124872
KFC RBD Raja Bazaar,Franchisee,KFC Restaurant -RG Complex,"Opposite Keshava Palace, Bailey Road PO Bihar Veterinary College",Patna,Bihar,800014,25.6058617,85.0767934
KFC RBD Kankarbagh,Franchisee,Kfc Kankarbagh,"367 KFC KANKARBAGH, RADHEY SHREE, GROUND FLOOR,PATNA MAIN ROAD",Patna,Bihar,800020,25.5938179,85.1605332
KFC Perinthalmanna,Franchisee,No.19/425 A & B,"Ground Floor, HITON Tower, Near BY Pass Junction Calicut Road, ,",Perinthalmanna,Kerala,679322,10.977139,76.218489
KFC Pondicherry,Franchisee,New # 65  Old # 45,Corner of  Rangapillai Str & MG Rd,Pondicherry,Tamil Nadu,605 001,11.9349881,79.8289053
KFC Mall-De-Goa,Franchisee,KFC Restaurant Mall-De-Goa,"Shop No.T 7  ,Food Court Area, 3rd Floor, Mall De Goa",Porvorim,Goa,403521,15.525672,73.827116
KFC Providence Mall,Franchisee,"Shop No: 9 & 10 , Ground Floor","No,7, Venkata Subha Reddiar Salai",Puducherry,Tamil Nadu,605001,11.928666,79.820018
KFC RBD Baner,Franchisee,"Show room No.1, Ground  Floor","TIARA building, S. No. 115, village Baner, Haveli",Pune,Maharashtra,411007,18.5596581,73.7799374
KFC R Deccan Mall,Franchisee,KFC R-Deccan Mall,"Shop no 1,2,3,&4,ground floor Opposite to deccan PMT Bus stand near Deccan Gymkhana,J.M Marg",Pune,Maharashtra,411004,18.5164922,73.8423478
KFC Phoenix Market City,Franchisee,KFC Phoenix Market City Mall,"Level 2 Food Court,Nagar Road",Pune,Maharashtra,411014,18.5627761,73.9163206
"KFC Pacific Mall, Pune",Franchisee,"Unit Nos. 08 - 09, Kumar Pacific Mall","CTS No 42 & 43, Shankarseth Road,  Gultekdi",Pune,Maharashtra,411037,18.5013738,73.8723975
KFC Amanora,Franchisee,"unit no eb-ff42 & 42d, Amanora Town Centre,","Amanora Park Township Village Sadesatra Nali,Magarpatta, Hadapsar,",Pune,Maharashtra,411028,18.5186104,73.9360892
KFC MSM Mall,Franchisee,"Unit no 2, MSM Mall, ( Central 4 Mall)","Near Garware College, Karve Road,",Pune,Maharashtra,411004,18.510553,73.838674
KFC RBD Spot 18,Franchisee,"Spot 18 Building, Shivar Chowk,","Rahatni road, Sunshine villas, Rahatni, Pimpri Chinchwad,",Pune,Maharashtra,411027,18.593283,73.785939
KFC City One,Franchisee,"City One Mall,","Store No. G1C, G1B, Building No. 2,",Pune,Maharashtra,411018,18.6328382,73.8005489
KFC Nitesh Hub,Franchisee,"Unit K7 + K8, Second Floor,","Nitesh Hub, North Main Road, Near ABC Farms.",Pune,Maharashtra,411018,18.6328382,73.8005489
The Pavillion Mall,Franchisee,The Pavillion Mall,"Food Court, Ground Floor, ICC (International Convention Centre), Next to J W Marriot, SB Road",Pune,Maharashtra,411015,18.518704,73.935618
KFC West End,Franchisee,"SF 2, WestEnd Mall, 2nd Floor, 5 Gurukul Park Road,","Ward no. 8, Wireless Colony, Aund",Pune,Maharashtra,411007,18.560896,73.80696
KFC West End,Franchisee,"SF 2, WestEnd Mall, 2nd Floor, 5 Gurukul Park Road,","Ward no. 8, Wireless Colony, Aund",Pune,Maharashtra,411007,18.560896,73.80696
KFC Express Way Pune,Franchisee,Shop #7 Food Mall,"Sanjgaon - B, Village Sanjgaon,Taluka - Khalapur ,",Raigad,Maharashtra,410202,18.8305523,73.2846445
"KFC Magneto Mall, Raipur",Franchisee,Magneto Mall,"Labhandi, NH 06,",Raipur,Chattisgarh,429001,21.2395834,81.6841734
KFC Ranchi,Franchisee,"Shop # 10,11,12. Siromtoli Chowk.","Old H B Road,",Ranchi,Jharkhand,834001,23.354256,85.332782
KFC Nucleus Mall Ranchi,Franchisee,KFC-Nucleus Mall,"3rd Floor, Circular Road, Lalpur",Ranchi,Jharkhand,834001,23.377225,85.331519
KFC RBD Salem,Franchisee,"N0 - 255,256, Omalur Main Road,",,Salem,Tamil Nadu,636007,10.772221,76.6823662
KFC RBD Shillong,Franchisee,2nd Floor -Marbahub,Police Bazar Shillong,Shillong,Meghalaya,793001,25.5763249,91.8825191
