URL,title,location,datetime
https://newyork.craigslist.org/wch/egr/d/automotive-technician/6628219050.html,Automotive Technician,Bill Volz Westchester,2018-06-27 10:23
https://newyork.craigslist.org/que/egr/d/electrical-project-manager/6628145427.html,ELECTRICAL Project Manager,LIC,2018-06-27 08:56
https://newyork.craigslist.org/que/egr/d/intermediate-and-junior/6627967423.html,Intermediate and Junior Architect,"Flushing, Queens",2018-06-26 22:03
https://newyork.craigslist.org/que/egr/d/architectural-drafter/6627754190.html,Architectural Drafter,FLUSHING,2018-06-26 17:30
https://newyork.craigslist.org/que/egr/d/industrial-manufacturing/6627698985.html,Industrial Manufacturing Engineer (up to $75k),"Queens, NY",2018-06-26 16:38
https://newyork.craigslist.org/brk/egr/d/lighting-design-intern/6627652997.html,Lighting Design Intern,Greenpoint/Brooklyn,2018-06-26 15:55
https://newyork.craigslist.org/wch/egr/d/cad-drafter-construction/6627600757.html,CAD Drafter - Construction,Westchester,2018-06-26 15:08
https://newyork.craigslist.org/lgi/egr/d/senior-hardware-software/6627563431.html,Senior Hardware/Software Electrical Engineer,"Smithtown, NY",2018-06-26 14:35
https://newyork.craigslist.org/jsy/egr/d/project-manager/6627523376.html,Project Manager,,2018-06-26 14:01
https://newyork.craigslist.org/mnh/egr/d/seeking-senior-project/6627009687.html,Seeking a senior Project Manager for a rising Metal and Glass Company!,,2018-06-26 13:27
https://newyork.craigslist.org/que/egr/d/structural-engineer/6627468607.html,Structural Engineer,Flushing,2018-06-26 13:16
https://newyork.craigslist.org/que/egr/d/architectural-draftsperson/6627456059.html,Architectural Draftsperson,GREAT NECK,2018-06-26 13:06
https://newyork.craigslist.org/que/egr/d/mid-level-architect-5-10/6627315978.html,Mid-Level Architect: 5-10 years of Experience,,2018-06-26 11:09
https://newyork.craigslist.org/mnh/egr/d/arch-designers-mixed-use-high/6627275297.html,Arch Designers w/ Mixed-Use/High-Rise Projects - Immediate Hire,SoHo,2018-06-26 10:31
https://newyork.craigslist.org/brk/egr/d/scene-shop-technical-designer/6627212108.html,Scene Shop Technical Designer,,2018-06-26 09:21
https://newyork.craigslist.org/mnh/egr/d/administrative-assistant-for/6626756501.html,Administrative Assistant for Project Management,Chelsea,2018-06-25 16:59
https://newyork.craigslist.org/que/egr/d/construction-inspector/6626626884.html,Construction Inspector - Railroad Construction - Queens/Nassau County,Queens,2018-06-25 15:04
https://newyork.craigslist.org/mnh/egr/d/vm-store-designer-cinema-4d/6626625361.html,VM/Store Designer - Cinema 4D,Midtown,2018-06-25 15:02
https://newyork.craigslist.org/que/egr/d/construction-engineer/6626598230.html,CONSTRUCTION ENGINEER/ASSISTANT PROJECT MANAGER,BELLEROSE,2018-06-25 14:39
https://newyork.craigslist.org/brk/egr/d/new-luxury-artistic-flower/6626593356.html,NEW Luxury Artistic Flower Shop Seeks F/T Florist/Operations Manager,Brooklyn,2018-06-25 14:35
https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626591589.html,Senior Project Architect/ Project Manager,Midtown East,2018-06-25 14:34
https://newyork.craigslist.org/mnh/egr/d/russian-speaking-engineer/6626536372.html,RUSSIAN-SPEAKING ENGINEER,Downtown,2018-06-25 13:49
https://newyork.craigslist.org/brx/egr/d/project-manager-steel-company/6626523256.html,Project Manager: Steel Company with NYC projects,NYC,2018-06-25 13:38
https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6626506251.html,Structural Engineer P.E.,,2018-06-25 13:25
https://newyork.craigslist.org/mnh/egr/d/project-architect-for/6626481899.html,Project Architect for boutique office,Chelsea,2018-06-25 13:05
